figure,panel,source_role,source_file,plotting_code,row_count,data_status,notes
Fig1A,A,training structures and labels,MY_PAPER_RELATED/revised/polybert_weighted_evidence/source_data/polybert_run/fold_assignment.csv,plot.ipynb cell 8,6270,available,Full label table with deterministic four-fold assignments.
Fig1B,B,workflow schematic,,plot.ipynb cell 9,,not_applicable,Schematic panel; no numerical source data.
Fig2,,training-label distribution,MY_PAPER_RELATED/revised/polybert_weighted_evidence/source_data/polybert_run/fold_assignment.csv,plot.ipynb cell 7,6270,available,Conductivity labels for all reference trajectories.
Fig6,,model scorecard,MY_PAPER_RELATED/MODELS/FCD_runs/_conductivity_eval/all_models_scorecard.csv,plot.ipynb cell 4,14,available,Generator-level scorecard.
Fig6,,conductivity screening summary,MY_PAPER_RELATED/MODELS/FCD_runs/_conductivity_eval/conductivity_eval_summary.csv,plot.ipynb cell 4,14,available,Generator-level surrogate summary.
Fig6,,generated-pool surrogate predictions,figures/generated_pool_enrichment/cache/proposed_transcvae_polybert_predictions.csv,plot.ipynb cell 4,47125,available,LOW/HIGH generated-pool predictions used for enrichment plots.
Fig7,A-C,out-of-fold predictions,MY_PAPER_RELATED/revised/polybert_weighted_evidence/source_data/polybert_run/oof_predictions.csv,scripts/figures/make_fig7_surrogate_reliability.py,6270,available,One OOF prediction per training trajectory.
Fig7,A-C,weighted-model selection,MY_PAPER_RELATED/revised/polybert_weighted_evidence/tables/weighted_model_selection.csv,scripts/figures/make_fig7_surrogate_reliability.py,85,available,Global and tail model-selection diagnostics.
Fig8,A-C,reference static cNE0 reassessment,MY_PAPER_RELATED/machine_readable/figure_data/fig8_reference_stratified_static_cne0.csv,scripts/figures/make_fig8_reference_stratified_static_cne0.py,108,available,"rdf_min, method_id 4, coordination_state_filter rows."
Fig8,A-C,reference selection and completion denominator,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,scripts/figures/make_fig8_reference_stratified_static_cne0.py,120,available,"Records all 120 selected trajectories, including 12 failures."
Fig9,,generated-candidate means,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/github_results/latest_notebook_manifest_60/run_results.csv,plot.ipynb cell 6,60,available,One summary row per selected generated candidate.
Fig9,,generated replica-level static cNE0,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/generated/generated_static_cNE0_replica_180.csv,plot.ipynb cell 6,180,available,Three production replicas per generated candidate.
