target_conductivity,repeat,generation_idx,mol_smiles,duplicate,diversity,validity,has_two_ends
1,4,1,CN(CCCCNC(=O)[Au])CCOCCN[Cu],False,novel,ok,True
1,4,1,C#CCN(CCO[Cu])CCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,CS(CCO[Cu])CCOC(=O)[Au],False,novel,ok,True
1,4,1,O=C([Au])OCCNCCO[Cu],False,In the original data set,ok,True
1,4,1,CC(C)OCCN(CCN[Cu])CCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,COCC(CNCCCO[Cu])OC(=O)[Au],False,In the original data set,ok,True
1,4,1,C=CCOCC(CNCCOC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,CC(C)COCC(CNCCNC(=O)[Au])N[Cu],False,novel,ok,True
1,4,1,C=C(CO[Cu])COC(=O)[Au],False,In the original data set,ok,True
1,4,1,C=CCN(CCC#N)CC(CO[Cu])OC(=O)[Au],False,In the original data set,ok,True
1,4,1,O=C([Au])OCCOCC(=O)COCCO[Cu],False,novel,ok,True
1,4,1,CC(CCO[Cu])N(C)CCCCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,COC(CN(C)CCCO[Cu])OC(=O)[Au],False,novel,ok,True
1,4,1,C=CC(CO[Cu])NC(=O)CCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,COCC(CNC(=O)CCCO[Cu])OC(=O)[Au],False,novel,ok,True
1,4,1,C=CC(=O)CN(C)CC(CO[Cu])OC(=O)[Au],False,novel,ok,True
1,4,1,CCOCCN(CCNC(=O)[Au])CCO[Cu],False,In the original data set,ok,True
1,4,1,CC(CCOC(=O)[Au])NCCOCCO[Cu],False,In the original data set,ok,True
1,4,1,CC(CCO[Cu])NCCCCCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,CC(COC(=O)NCCOCCOC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,CN(CCCO[Cu])CC(C)COC(C)OC(=O)[Au],False,novel,ok,True
1,4,1,COCC(CN(C)CCOC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,COCCCN(C)CC(COC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,CC(C)(CNCCCCCCCNC(=O)[Au])N[Cu],False,novel,ok,True
1,4,1,C=C=CC(COC(=O)[Au])NCCO[Cu],False,novel,ok,True
1,4,1,CNCC(CO[Cu])NCCCOC(=O)[Au],False,novel,ok,True
1,4,1,CCCCN(CCC#N)CC(CO[Cu])OC(=O)[Au],False,novel,ok,True
1,4,1,C=CC(CO[Cu])NCCCCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,CC(CCC(=O)NCCOC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,CN(CCCCF)CCOC(=O)[Au])CCO[Cu],False,novel,"SMILES Parse Error: extra close parentheses while parsing: CN(CCCCF)CCOC(=O)[Au])CCO[Cu]
[17:13:07] SMILES Parse Error: Failed parsing SMILES 'CN(CCCCF)CCOC(=O)[Au])CCO[Cu]' for input: 'CN(CCCCF)CCOC(=O)[Au])CCO[Cu]'",True
1,4,1,O=C([Au])OCCSCCOCCOCCO[Cu],False,novel,ok,True
1,4,1,CC(CNCCCOCCOC(=O)[Au])O[Cu],False,In the original data set,ok,True
1,4,1,N#CCCN(CCCOC(=O)[Au])CCO[Cu],False,In the original data set,ok,True
1,4,1,CCOCCC(=O)NCC(COC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,C#CCOCC(=O)NCC(COC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,CN(CCCCCCO[Cu])CCNC(=O)[Au],False,In the original data set,ok,True
1,4,1,N#CCCN(CCOC(=O)[Au])CCO[Cu],False,novel,ok,True
1,4,1,O=C([Au])NCCOCCCCOCCN[Cu],False,novel,ok,True
1,4,1,CN(CCCCCCCO[Cu])CCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,CC(CNCCO(C)CCO[Cu])OC(=O)[Au],False,novel,"Explicit valence for atom # 6 O, 3, is greater than permitted",True
1,4,1,CCCC(CO[Cu])NC(CNC(=O)[Au],False,novel,SMILES Parse Error: extra open parentheses for input: 'CCCC(CO[Cu])NC(CNC(=O)[Au]',True
1,4,1,O=C([Au])OCCNCCSCCO[Cu],False,novel,ok,True
1,4,1,C#CCN(CCOCCO[Cu])CCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,CN(CCCCCCOC(=O)[Au])CCCO[Cu],False,In the original data set,ok,True
1,4,1,CN(CCCCCOC(=O)[Au])CCCCO[Cu],False,novel,ok,True
1,4,1,CC(COCC(C)(COC(=O)[Au])O[Cu],False,novel,SMILES Parse Error: extra open parentheses for input: 'CC(COCC(C)(COC(=O)[Au])O[Cu]',True
1,4,1,C=CC(COC(=O)[Au])NOCCO[Cu],False,novel,ok,True
1,4,1,O=C([Au])OCCOCCNCC=CCN[Cu],False,novel,ok,True
1,4,1,O=C([Au])NCCSCCOCCSCCN[Cu],False,novel,ok,True
1,4,1,CC(CCSCCOCC(=O)OC(=O)[Au])O[Cu],False,novel,ok,True
1,4,1,O=C([Au])OCCCNCCO[Cu],False,novel,ok,True
1,4,1,O=C([Au])OCCOCCCCOCCOCO[Cu],False,novel,ok,True
1,4,1,C=CC(C)(O[Cu])C(=O)NCCOC(=O)[Au],False,In the original data set,ok,True
1,4,1,CCCN(CCOCC(C)CCO[Cu])OC(=O)[Au],False,novel,ok,True
1,4,1,O=C([Au])OCCCCCCO[Cu],False,In the original data set,ok,True
1,4,1,CN(CCOCCN[Cu])CC(=O)[Au],False,novel,ok,True
1,4,1,O=C([Au])OCCNCCO[Cu],True,In the original data set,ok,True
1,4,1,O=C([Au])OCCCNCCCCCO[Cu],False,novel,ok,True
1,4,1,CCOCCN(CCO[Cu])CCOC(=O)[Au],False,novel,ok,True
