target_conductivity,repeat,generation_idx,mol_smiles,duplicate,diversity,validity,has_two_ends
0,3,43,CC(C)(CNC(=O)[Au])O[Cu],False,In the original data set,ok,True
0,3,43,CNC(=O)CNCC(COC(=O)[Au])O[Cu],False,In the original data set,ok,True
0,3,43,CC(C)C(CN[Cu])NC(C)CCNC(=O)[Au],False,novel,ok,True
0,3,43,CCOC(=O)C(N[Cu])C(=O)NCCNC(=O)[Au],False,novel,ok,True
0,3,43,C#CC(CC)(CNC(C)CCO[Cu])OC(=O)[Au],False,novel,ok,True
0,3,43,CC#CCC(CNC(C)COC(=O)[Au])O[Cu],False,novel,ok,True
0,3,43,O=C([Au])NCC(O[Cu])=N(CCCF,False,novel,SMILES Parse Error: extra open parentheses for input: 'O=C([Au])NCC(O[Cu])=N(CCCF',True
0,3,43,CC(C)N(CC#N)C(=O)CC(CNC(=O)[Au])O[Cu],False,novel,ok,True
0,3,43,CC=CCCCC(O[Cu])OC(=O)[Au],False,novel,ok,True
0,3,43,CC(C)(CCC(C)O[Cu])NC(=O)[Au],False,novel,ok,True
0,3,43,CCC(CCC(CC)OC(=O)[Au])O[Cu],False,In the original data set,ok,True
0,3,43,CC(CN[Cu])NCCCC(NC(=O)[Au])C(C)C,False,novel,ok,True
0,3,43,CN(C)C(CO[Cu])(CC#N)OC(=O)[Au],False,novel,ok,True
0,3,43,COCC(CO[Cu])OC(=O)[Au],False,In the original data set,ok,True
0,3,43,CC(CN(C)C(=O)C(COC(=O)[Au])O[Cu],False,novel,SMILES Parse Error: extra open parentheses for input: 'CC(CN(C)C(=O)C(COC(=O)[Au])O[Cu]',True
0,3,43,CCN(CCCOC(=O)[Au])CCO[Cu],False,In the original data set,ok,True
0,3,43,CC(CCO[Cu])NC(=O)CCCOC(=O)[Au],False,novel,ok,True
0,3,43,CC(C)(O[Cu])C(=OC(C)C(C)OC(=O)[Au],False,novel,SMILES Parse Error: extra open parentheses for input: 'CC(C)(O[Cu])C(=OC(C)C(C)OC(=O)[Au]',True
0,3,43,CC(C)CCCCN(CC(CCN[Cu])OC(=O)[Au],False,novel,SMILES Parse Error: extra open parentheses for input: 'CC(C)CCCCN(CC(CCN[Cu])OC(=O)[Au]',True
0,3,43,CCCCOCC(CN[Cu])OC(C)OC(=O)[Au],False,novel,ok,True
0,3,43,C=CCN(CCCOC(=O)[Au])C(C)CCO[Cu],False,novel,ok,True
0,3,43,O=C([Au])NCC(F)(F)CNC(CC)CO[Cu],False,novel,ok,True
